lat,long,case_type,file_date,grade,label
42.3115799,-71.1293614,Cause,3/18/2022,A,A1
42.3063621,-71.1249696,Cause,7/12/2021,A,A1
42.3415988,-71.1524274,Non-payment of Rent,4/15/2022,B,B2
42.33999,-71.15764,Cause,5/5/2022,B,B2
42.3438,-71.14818,Cause,4/29/2022,B,B2
42.34344,-71.15296,Non-payment of Rent,1/6/2020,B,B2
42.34257,-71.146545,Non-payment of Rent,10/8/2021,B,B2
42.342628,-71.159148,Non-payment of Rent,12/2/2021,B,B2
42.34441,-71.149,No Cause,11/19/2021,B,B2
42.3415988,-71.1524274,Cause,4/15/2022,B,B2
42.3409924,-71.160788,Cause,2/13/2020,B,B2
42.3428945,-71.154108,Non-payment of Rent,8/16/2021,B,B2
42.340099,-71.158151,Non-payment of Rent,11/9/2020,B,B2
42.349956,-71.096474,Non-payment of Rent,5/26/2022,B,B3
42.3524309,-71.0826946,Cause,10/1/2021,B,B3
42.3500107,-71.0940683,Non-payment of Rent,1/28/2022,B,B3
42.3524072,-71.0827812,Non-payment of Rent,1/4/2022,B,B3
42.357877,-71.07046,Cause,1/6/2022,B,B3
42.3510721,-71.0877162,Non-payment of Rent,4/6/2020,B,B3
42.353066,-71.0721256,Non-payment of Rent,3/19/2020,B,B3
42.3506635,-71.0889949,Non-payment of Rent,6/2/2021,B,B3
42.3516608,-71.0868289,Non-payment of Rent,4/2/2021,B,B3
42.350949,-71.089134,No Cause,11/17/2020,B,B3
42.35307,-71.07213,No Cause,5/3/2021,B,B3
42.3530441,-71.0722603,Non-payment of Rent,2/22/2021,B,B3
42.3500244,-71.0948308,Non-payment of Rent,1/8/2021,B,B3
42.3531307,-71.0800394,No Cause,8/15/2022,B,B3
42.355425,-71.07359,Non-payment of Rent,12/11/2020,B,B3
42.3514826,-71.0880155,Non-payment of Rent,5/2/2022,B,B3
42.3505919,-71.0901191,Non-payment of Rent,4/5/2021,B,B3
42.3514826,-71.0880155,Non-payment of Rent,12/11/2020,B,B3
42.3506938,-71.0897422,No Cause,9/12/2022,B,B3
42.32693,-71.111907,Non-payment of Rent,3/21/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,3/9/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,3/8/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,3/8/2022,B,B4
42.3258765,-71.1123163,Non-payment of Rent,6/30/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,12/9/2019,B,B4
42.32693,-71.111907,No Cause,12/9/2019,B,B4
42.32693,-71.111907,Non-payment of Rent,12/9/2019,B,B4
42.32693,-71.111907,Non-payment of Rent,1/17/2020,B,B4
42.3222244,-71.1154261,No Cause,1/6/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,1/24/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,1/17/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,1/24/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,10/12/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,2/7/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,11/19/2021,B,B4
42.32693,-71.111907,Cause,11/22/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,12/27/2021,B,B4
42.3258765,-71.1123163,Non-payment of Rent,1/18/2022,B,B4
42.3219125,-71.1152265,Cause,2/11/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,3/20/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,4/17/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,4/17/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,4/17/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,3/26/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/22/2021,B,B4
42.3258765,-71.1123163,Non-payment of Rent,6/28/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,3/1/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,5/21/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,2/22/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/22/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.3258765,-71.1123163,Non-payment of Rent,8/15/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.32693,-71.111907,Non-payment of Rent,1/4/2021,B,B4
42.3127224,-71.1155401,Non-payment of Rent,2/3/2020,B,B4
42.32693,-71.111907,Non-payment of Rent,8/8/2022,B,B4
42.32693,-71.111907,Non-payment of Rent,5/23/2022,B,B4
42.32693,-71.111907,Cause,5/23/2022,B,B4
42.27877,-71.15983,Non-payment of Rent,4/19/2022,B,B5
42.2885811,-71.157038,Cause,4/15/2022,B,B5
42.2795614,-71.1566005,No Cause,6/1/2022,B,B5
42.2795487,-71.1606606,Non-payment of Rent,8/25/2022,B,B5
42.2969387,-71.1572106,Non-payment of Rent,1/10/2020,B,B5
42.2787565,-71.1598345,Cause,8/29/2022,B,B5
42.2783625,-71.1555072,No Cause,9/15/2021,B,B5
42.2929031,-71.156629,Cause,10/7/2021,B,B5
42.2787444,-71.1604326,Non-payment of Rent,9/10/2021,B,B5
42.2795614,-71.1566005,No Cause,12/7/2021,B,B5
42.2922293,-71.1454944,No Cause,4/13/2021,B,B5
42.2967087,-71.1559206,Non-payment of Rent,2/15/2021,B,B5
42.2865292,-71.1563681,Non-payment of Rent,7/19/2021,B,B5
42.2970587,-71.1579306,Non-payment of Rent,2/15/2021,B,B5
42.2828969,-71.1553001,Non-payment of Rent,5/2/2022,B,B5
42.2887863,-71.1145938,Non-payment of Rent,4/26/2021,B,B6
42.28261,-71.06611,No Cause,7/8/2022,B,B8
42.28267,-71.06593,Cause,2/25/2022,B,B8
42.28311,-71.067268,Non-payment of Rent,2/7/2022,B,B8
42.2786854,-71.0785665,Cause,6/20/2022,B,B8
42.27952,-71.07331,Cause,9/7/2022,B,B8
42.27844,-71.07519,No Cause,8/22/2022,B,B8
42.27693,-71.07216,Cause,12/10/2019,B,B8
42.28217,-71.06425,No Cause,11/24/2021,B,B8
42.27844,-71.07519,No Cause,1/18/2022,B,B8
42.27887,-71.07816,Cause,1/13/2022,B,B8
42.281565,-71.064247,No Cause,2/11/2020,B,B8
42.28192,-71.06599,Non-payment of Rent,6/22/2021,B,B8
42.282045,-71.070512,No Cause,7/20/2021,B,B8
42.27822,-71.07745,Non-payment of Rent,11/27/2020,B,B8
42.28233,-71.06471,Cause,3/26/2021,B,B8
42.28192,-71.06599,Non-payment of Rent,6/22/2021,B,B8
42.2772402,-71.0745236,Cause,11/6/2020,B,B8
42.28024,-71.07507,Non-payment of Rent,8/5/2021,B,B8
42.281455,-71.065265,Non-payment of Rent,7/19/2021,B,B8
42.27957,-71.076595,Non-payment of Rent,3/23/2021,B,B8
42.28052,-71.073847,Cause,8/15/2022,B,B8
42.28052,-71.073847,Cause,8/15/2022,B,B8
42.28017,-71.06951,Cause,12/18/2020,B,B8
42.27871,-71.068592,No Cause,6/27/2022,B,B8
42.347185,-71.137897,Cause,6/21/2022,C,C1
42.348998,-71.139929,Cause,7/18/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3489969,-71.1405836,Non-payment of Rent,7/18/2022,C,C1
42.3403101,-71.1494755,Non-payment of Rent,6/16/2022,C,C1
42.3439334,-71.1428773,Cause,7/18/2022,C,C1
42.351458,-71.1506529,No Cause,5/13/2022,C,C1
42.352705,-71.12161,No Cause,5/13/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.350382,-71.1581206,Non-payment of Rent,5/30/2022,C,C1
42.349235,-71.134224,Cause,5/26/2022,C,C1
42.3493169,-71.1340188,Non-payment of Rent,3/14/2022,C,C1
42.345686,-71.1376054,Non-payment of Rent,2/28/2022,C,C1
42.3462356,-71.1378537,Cause,2/15/2022,C,C1
42.3458294,-71.1544784,Non-payment of Rent,7/5/2022,C,C1
42.347605,-71.134065,Non-payment of Rent,2/14/2022,C,C1
42.3500676,-71.1401473,Cause,7/11/2022,C,C1
42.3464387,-71.1386206,Non-payment of Rent,7/13/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3501628,-71.1610882,No Cause,7/11/2022,C,C1
42.347185,-71.137897,Non-payment of Rent,5/31/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3497644,-71.1542044,Non-payment of Rent,7/20/2022,C,C1
42.348925,-71.138409,Non-payment of Rent,7/18/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3543333,-71.1311462,No Cause,6/9/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3420493,-71.1428372,No Cause,6/30/2022,C,C1
42.3551198,-71.1598086,No Cause,6/29/2022,C,C1
42.33669,-71.15067,Non-payment of Rent,4/22/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3388532,-71.1546316,Cause,5/20/2022,C,C1
42.3523864,-71.1415349,Cause,7/8/2022,C,C1
42.3500676,-71.1401473,Non-payment of Rent,8/22/2022,C,C1
42.3487493,-71.1333272,Non-payment of Rent,7/25/2022,C,C1
42.3468563,-71.1372652,Non-payment of Rent,7/25/2022,C,C1
42.3468515,-71.1454344,Non-payment of Rent,8/1/2022,C,C1
42.3467698,-71.1370928,Non-payment of Rent,12/20/2021,C,C1
42.346405,-71.1681,Non-payment of Rent,9/13/2022,C,C1
42.3490987,-71.1610396,Cause,7/22/2022,C,C1
42.348395,-71.13891,Non-payment of Rent,8/5/2022,C,C1
42.339434,-71.1561705,Cause,8/2/2022,C,C1
42.3538037,-71.1325278,Non-payment of Rent,8/5/2022,C,C1
42.352612,-71.1343362,Non-payment of Rent,7/25/2022,C,C1
42.349865,-71.13381,Cause,8/19/2022,C,C1
42.3489826,-71.131131,Non-payment of Rent,7/29/2022,C,C1
42.3481592,-71.141336,Cause,9/1/2022,C,C1
42.3459089,-71.1581045,Non-payment of Rent,8/3/2022,C,C1
42.3569422,-71.1570868,Non-payment of Rent,8/25/2022,C,C1
42.3444787,-71.1435506,Non-payment of Rent,1/17/2020,C,C1
42.347357,-71.13368,Non-payment of Rent,12/2/2019,C,C1
42.349865,-71.13381,Non-payment of Rent,12/5/2019,C,C1
42.34842,-71.13953,Non-payment of Rent,12/12/2019,C,C1
42.3487493,-71.1333272,Non-payment of Rent,12/9/2019,C,C1
42.3548598,-71.1307814,Non-payment of Rent,12/9/2019,C,C1
42.346242,-71.144478,Non-payment of Rent,12/2/2019,C,C1
42.3547614,-71.1273361,Non-payment of Rent,12/5/2019,C,C1
42.350055,-71.12767,Non-payment of Rent,12/10/2019,C,C1
42.35691,-71.153107,Non-payment of Rent,12/10/2019,C,C1
42.353624,-71.1254532,Non-payment of Rent,12/10/2019,C,C1
42.3558087,-71.1532906,Non-payment of Rent,12/10/2019,C,C1
42.3554187,-71.1467806,Non-payment of Rent,12/2/2019,C,C1
42.3502198,-71.1268897,Cause,12/10/2019,C,C1
42.3488,-71.1377613,Cause,12/11/2019,C,C1
42.3497642,-71.1339882,Non-payment of Rent,12/5/2019,C,C1
42.3525331,-71.1245244,Non-payment of Rent,12/10/2019,C,C1
42.3561287,-71.1532406,Non-payment of Rent,1/7/2020,C,C1
42.34461,-71.14057,Non-payment of Rent,12/31/2019,C,C1
42.3515211,-71.1403732,Non-payment of Rent,12/26/2019,C,C1
42.34912,-71.138158,Non-payment of Rent,12/23/2019,C,C1
42.3495423,-71.1571551,No Cause,1/14/2020,C,C1
42.3378722,-71.1492703,Non-payment of Rent,1/31/2020,C,C1
42.348925,-71.138409,Non-payment of Rent,12/23/2019,C,C1
42.34767,-71.133246,Non-payment of Rent,12/30/2019,C,C1
42.3490877,-71.1606356,Non-payment of Rent,1/27/2020,C,C1
42.353514,-71.129984,Non-payment of Rent,1/20/2020,C,C1
42.355126,-71.145401,Non-payment of Rent,1/14/2020,C,C1
42.346242,-71.144478,Non-payment of Rent,1/6/2020,C,C1
42.3557972,-71.1315628,Non-payment of Rent,1/27/2020,C,C1
42.347211,-71.1377097,Non-payment of Rent,12/23/2019,C,C1
42.346242,-71.144478,Non-payment of Rent,12/30/2019,C,C1
42.3454587,-71.1442106,Non-payment of Rent,1/24/2020,C,C1
42.3501767,-71.1300267,Non-payment of Rent,1/31/2020,C,C1
42.348998,-71.139929,Non-payment of Rent,12/23/2019,C,C1
42.3444787,-71.1435506,Non-payment of Rent,1/24/2020,C,C1
42.34143,-71.14197,Non-payment of Rent,1/27/2020,C,C1
42.34929,-71.134,Non-payment of Rent,1/10/2020,C,C1
42.34912,-71.138158,Non-payment of Rent,1/21/2020,C,C1
42.3491868,-71.1411789,Non-payment of Rent,12/30/2019,C,C1
42.348874,-71.161146,Non-payment of Rent,1/6/2020,C,C1
42.346242,-71.144478,Non-payment of Rent,1/24/2020,C,C1
42.3491258,-71.1410423,Non-payment of Rent,1/24/2020,C,C1
42.3456887,-71.1439006,Non-payment of Rent,1/17/2020,C,C1
42.348925,-71.138409,Non-payment of Rent,12/23/2019,C,C1
42.355555,-71.1312114,Non-payment of Rent,1/13/2020,C,C1
42.349155,-71.138465,Non-payment of Rent,12/23/2019,C,C1
42.351634,-71.1247454,Non-payment of Rent,1/24/2020,C,C1
42.3441391,-71.1410067,Non-payment of Rent,1/30/2020,C,C1
42.3560287,-71.1523006,Non-payment of Rent,1/7/2020,C,C1
42.3547614,-71.1273361,Non-payment of Rent,12/31/2019,C,C1
42.348815,-71.136169,Cause,8/26/2021,C,C1
42.3547614,-71.1273361,Cause,8/26/2021,C,C1
42.349485,-71.133804,Non-payment of Rent,3/9/2020,C,C1
42.347605,-71.134065,Non-payment of Rent,3/2/2020,C,C1
42.3490877,-71.1606356,Non-payment of Rent,3/9/2020,C,C1
42.3568,-71.152689,Non-payment of Rent,3/9/2020,C,C1
42.3557387,-71.1523506,Non-payment of Rent,3/9/2020,C,C1
42.35218,-71.136946,Cause,8/23/2021,C,C1
42.3565287,-71.1513006,Non-payment of Rent,3/9/2020,C,C1
42.34767,-71.133246,Non-payment of Rent,9/20/2021,C,C1
42.3492294,-71.1342056,No Cause,9/16/2021,C,C1
42.352705,-71.12161,Cause,9/10/2021,C,C1
42.34912,-71.138158,Cause,9/13/2021,C,C1
42.3492167,-71.1608326,Cause,9/10/2021,C,C1
42.3463534,-71.1465336,Non-payment of Rent,9/27/2021,C,C1
42.352705,-71.12161,Cause,9/22/2021,C,C1
42.34945,-71.134492,No Cause,9/16/2021,C,C1
42.349255,-71.13923,Cause,9/20/2021,C,C1
42.3497642,-71.1339882,Non-payment of Rent,9/3/2021,C,C1
42.3556697,-71.1519206,Non-payment of Rent,3/9/2020,C,C1
42.3488291,-71.1361665,Non-payment of Rent,2/14/2020,C,C1
42.3527122,-71.1372562,Non-payment of Rent,12/6/2021,C,C1
42.3468515,-71.1454344,Non-payment of Rent,12/27/2021,C,C1
42.3434718,-71.1443621,No Cause,11/2/2021,C,C1
42.3472572,-71.1380528,Non-payment of Rent,11/8/2021,C,C1
42.34786,-71.14511,Non-payment of Rent,11/22/2021,C,C1
42.3501767,-71.1300267,Cause,12/30/2021,C,C1
42.3428577,-71.1429566,Non-payment of Rent,11/22/2021,C,C1
42.3427017,-71.1431036,Non-payment of Rent,11/29/2021,C,C1
42.3499896,-71.1401372,Non-payment of Rent,11/22/2021,C,C1
42.3473349,-71.1382205,Non-payment of Rent,12/27/2021,C,C1
42.3528675,-71.1338386,No Cause,12/27/2021,C,C1
42.3473347,-71.1461659,Non-payment of Rent,11/29/2021,C,C1
42.3514122,-71.1417526,Non-payment of Rent,12/30/2021,C,C1
42.352705,-71.12161,Cause,11/11/2021,C,C1
42.3521783,-71.1279193,Non-payment of Rent,12/9/2021,C,C1
42.34699,-71.134048,Non-payment of Rent,11/15/2021,C,C1
42.3464007,-71.1466479,Non-payment of Rent,12/27/2021,C,C1
42.3538851,-71.1408967,Non-payment of Rent,12/17/2021,C,C1
42.347357,-71.13368,Non-payment of Rent,11/22/2021,C,C1
42.3489826,-71.131131,Non-payment of Rent,11/17/2021,C,C1
42.3464007,-71.1466479,Non-payment of Rent,1/3/2022,C,C1
42.3526343,-71.1364139,Non-payment of Rent,1/14/2022,C,C1
42.3495958,-71.1337834,Cause,1/10/2022,C,C1
42.350646,-71.1259708,Non-payment of Rent,1/10/2022,C,C1
42.3469511,-71.1351959,Non-payment of Rent,1/31/2022,C,C1
42.3439334,-71.1428773,Cause,1/3/2022,C,C1
42.3484319,-71.139544,Non-payment of Rent,1/10/2022,C,C1
42.338,-71.14993,Cause,1/3/2022,C,C1
42.355812,-71.156556,Non-payment of Rent,1/28/2022,C,C1
42.3533754,-71.1299892,Non-payment of Rent,1/31/2022,C,C1
42.3542538,-71.1311041,Non-payment of Rent,1/14/2022,C,C1
42.3490987,-71.1610396,Non-payment of Rent,2/7/2022,C,C1
42.3402279,-71.1465021,Cause,4/7/2022,C,C1
42.3491868,-71.1411789,Non-payment of Rent,4/14/2022,C,C1
42.3435497,-71.1418865,Non-payment of Rent,4/8/2022,C,C1
42.35285,-71.133827,Non-payment of Rent,4/7/2022,C,C1
42.3472621,-71.1505064,No Cause,3/22/2022,C,C1
42.3428787,-71.1420706,Cause,4/14/2022,C,C1
42.33982,-71.156575,Non-payment of Rent,4/5/2022,C,C1
42.35285,-71.133827,Non-payment of Rent,4/7/2022,C,C1
42.350417,-71.1403814,Non-payment of Rent,4/14/2022,C,C1
42.3471071,-71.1377484,Non-payment of Rent,4/19/2022,C,C1
42.3558087,-71.1532906,Non-payment of Rent,2/18/2020,C,C1
42.3558087,-71.1532906,Non-payment of Rent,2/18/2020,C,C1
42.347357,-71.13368,Non-payment of Rent,4/6/2020,C,C1
42.3501767,-71.1300267,Cause,5/8/2020,C,C1
42.34887,-71.15739,Cause,2/27/2020,C,C1
42.350055,-71.12767,Non-payment of Rent,2/17/2020,C,C1
42.3501767,-71.1300267,Non-payment of Rent,3/23/2020,C,C1
42.34685,-71.134673,Non-payment of Rent,4/6/2020,C,C1
42.3547614,-71.1273361,Non-payment of Rent,3/30/2020,C,C1
42.3543287,-71.1461606,Non-payment of Rent,2/17/2020,C,C1
42.3501767,-71.1300267,Cause,4/24/2020,C,C1
42.345265,-71.1403606,Cause,7/20/2020,C,C1
42.3501767,-71.1300267,Non-payment of Rent,3/23/2020,C,C1
42.3497009,-71.1366695,Non-payment of Rent,3/5/2020,C,C1
42.3525331,-71.1245244,Non-payment of Rent,2/17/2020,C,C1
42.35644,-71.151854,Non-payment of Rent,2/18/2020,C,C1
42.3501767,-71.1300267,Cause,5/28/2020,C,C1
42.3502903,-71.1350309,Cause,3/12/2020,C,C1
42.3484392,-71.1389024,Non-payment of Rent,1/8/2021,C,C1
42.349562,-71.1631664,Non-payment of Rent,11/19/2020,C,C1
42.3448088,-71.1409488,Non-payment of Rent,2/5/2021,C,C1
42.349865,-71.13381,Non-payment of Rent,2/8/2021,C,C1
42.3493609,-71.1346404,Non-payment of Rent,4/2/2021,C,C1
42.352655,-71.133447,Non-payment of Rent,5/28/2021,C,C1
42.341224,-71.147306,No Cause,12/8/2020,C,C1
42.349295,-71.134807,Non-payment of Rent,8/13/2021,C,C1
42.3498644,-71.1338285,No Cause,2/1/2021,C,C1
42.3471184,-71.136929,Non-payment of Rent,5/24/2021,C,C1
42.3547614,-71.1273361,Non-payment of Rent,1/15/2021,C,C1
42.3468563,-71.1372652,Non-payment of Rent,4/12/2021,C,C1
42.3437,-71.1396,Non-payment of Rent,5/10/2021,C,C1
42.3542538,-71.1311041,Non-payment of Rent,3/16/2021,C,C1
42.343748,-71.138873,Non-payment of Rent,5/3/2021,C,C1
42.3498644,-71.1338285,Non-payment of Rent,2/8/2021,C,C1
42.3551586,-71.1541854,Non-payment of Rent,2/15/2021,C,C1
42.34915,-71.134405,Non-payment of Rent,8/13/2021,C,C1
42.3489564,-71.1400613,Cause,6/14/2021,C,C1
42.3499896,-71.1401372,Non-payment of Rent,4/12/2021,C,C1
42.3489564,-71.1400613,Non-payment of Rent,2/12/2021,C,C1
42.3469561,-71.1374087,Non-payment of Rent,7/12/2021,C,C1
42.3522123,-71.12831,Non-payment of Rent,4/5/2021,C,C1
42.3488359,-71.1357314,Non-payment of Rent,2/8/2021,C,C1
42.341605,-71.144697,Non-payment of Rent,2/16/2021,C,C1
42.3507493,-71.1398668,Non-payment of Rent,3/25/2021,C,C1
42.3489702,-71.1375763,No Cause,5/24/2021,C,C1
42.34955,-71.134336,Non-payment of Rent,8/13/2021,C,C1
42.3481592,-71.141336,Cause,5/10/2021,C,C1
42.3494087,-71.1634806,No Cause,7/16/2021,C,C1
42.339843,-71.15104,Non-payment of Rent,1/25/2021,C,C1
42.3476505,-71.1358534,Non-payment of Rent,1/19/2021,C,C1
42.3526343,-71.1364139,Non-payment of Rent,4/16/2021,C,C1
42.3547614,-71.1273361,Non-payment of Rent,2/8/2021,C,C1
42.3477544,-71.1342786,Non-payment of Rent,2/16/2021,C,C1
42.3446873,-71.1407612,Non-payment of Rent,2/8/2021,C,C1
42.3511334,-71.134469,Non-payment of Rent,11/16/2020,C,C1
42.3535128,-71.1290751,Non-payment of Rent,2/25/2021,C,C1
42.3492087,-71.1606206,Non-payment of Rent,2/1/2021,C,C1
42.34884,-71.13576,Non-payment of Rent,2/1/2021,C,C1
42.351634,-71.1247454,Non-payment of Rent,2/25/2021,C,C1
42.349155,-71.138465,Non-payment of Rent,2/12/2021,C,C1
42.3511334,-71.134469,Cause,8/31/2020,C,C1
42.3489702,-71.1375763,Non-payment of Rent,2/1/2021,C,C1
42.3488962,-71.1316432,Non-payment of Rent,6/7/2021,C,C1
42.3445902,-71.1405938,Non-payment of Rent,2/8/2021,C,C1
42.3460077,-71.1598795,Non-payment of Rent,11/12/2020,C,C1
42.3474567,-71.1332408,Non-payment of Rent,2/16/2021,C,C1
42.350417,-71.1403748,Cause,7/15/2021,C,C1
42.3404355,-71.146497,Non-payment of Rent,6/1/2021,C,C1
42.3468515,-71.1454344,Non-payment of Rent,1/19/2021,C,C1
42.35026,-71.133677,Non-payment of Rent,12/31/2020,C,C1
42.3490877,-71.1606356,Non-payment of Rent,2/1/2021,C,C1
42.3492167,-71.1608326,Non-payment of Rent,2/5/2021,C,C1
42.351634,-71.1247454,Non-payment of Rent,2/25/2021,C,C1
42.3428787,-71.1420706,Non-payment of Rent,1/29/2021,C,C1
42.3448088,-71.1409488,Non-payment of Rent,2/8/2021,C,C1
42.3547614,-71.1273361,Non-payment of Rent,2/1/2021,C,C1
42.349155,-71.138465,Cause,4/19/2021,C,C1
42.3542538,-71.1311041,Non-payment of Rent,4/15/2021,C,C1
42.3479598,-71.1385036,Non-payment of Rent,7/19/2021,C,C1
42.3464093,-71.1404284,Non-payment of Rent,12/8/2020,C,C1
42.3409727,-71.1442703,Non-payment of Rent,2/8/2021,C,C1
42.3481592,-71.141336,Cause,5/27/2021,C,C1
42.3491868,-71.1411789,Non-payment of Rent,4/12/2021,C,C1
42.3542538,-71.1311041,Non-payment of Rent,4/15/2021,C,C1
42.3492796,-71.1347997,Non-payment of Rent,4/2/2021,C,C1
42.3440339,-71.1441369,Non-payment of Rent,2/19/2021,C,C1
42.3461785,-71.1465858,Non-payment of Rent,5/13/2021,C,C1
42.3547614,-71.1273361,Non-payment of Rent,2/1/2021,C,C1
42.3445902,-71.1405938,Non-payment of Rent,2/8/2021,C,C1
42.350253,-71.1403719,Cause,2/25/2021,C,C1
42.3462435,-71.1369832,Non-payment of Rent,6/21/2021,C,C1
42.34952,-71.133724,Non-payment of Rent,3/29/2021,C,C1
42.3489969,-71.1405836,Non-payment of Rent,2/25/2021,C,C1
42.3497642,-71.1339882,Non-payment of Rent,2/8/2021,C,C1
42.3541206,-71.1295255,Non-payment of Rent,3/12/2021,C,C1
42.3490877,-71.1606356,Non-payment of Rent,2/1/2021,C,C1
42.3488182,-71.1359737,Non-payment of Rent,2/1/2021,C,C1
42.352705,-71.12161,No Cause,2/19/2021,C,C1
42.3489564,-71.1400613,Cause,4/19/2021,C,C1
42.3494292,-71.1344796,Non-payment of Rent,4/2/2021,C,C1
42.3466039,-71.1446678,Cause,6/17/2021,C,C1
42.3521907,-71.1400568,Cause,8/6/2021,C,C1
42.34461,-71.14057,Non-payment of Rent,2/5/2021,C,C1
42.350417,-71.1403814,Non-payment of Rent,1/26/2021,C,C1
42.35021,-71.12689,Cause,2/8/2021,C,C1
42.3468515,-71.1454344,Non-payment of Rent,8/2/2021,C,C1
42.3507423,-71.1259255,Non-payment of Rent,5/24/2021,C,C1
42.3490987,-71.1610396,Non-payment of Rent,2/5/2021,C,C1
42.3521783,-71.1279193,Non-payment of Rent,3/11/2021,C,C1
42.349155,-71.138465,Non-payment of Rent,8/2/2021,C,C1
42.351634,-71.1247454,Non-payment of Rent,1/8/2021,C,C1
42.3470461,-71.1367362,Non-payment of Rent,5/24/2021,C,C1
42.3489564,-71.1400613,Non-payment of Rent,8/2/2021,C,C1
42.3498644,-71.1338285,Non-payment of Rent,2/8/2021,C,C1
42.3490877,-71.1606356,Non-payment of Rent,2/5/2021,C,C1
42.3500676,-71.1401473,Non-payment of Rent,5/24/2021,C,C1
42.34907,-71.13997,Cause,3/1/2021,C,C1
42.3445902,-71.1405938,Non-payment of Rent,2/5/2021,C,C1
42.3488182,-71.1359737,Non-payment of Rent,2/8/2021,C,C1
42.3491061,-71.1381451,Non-payment of Rent,7/12/2021,C,C1
42.3437,-71.1396,Non-payment of Rent,5/10/2021,C,C1
42.3488359,-71.1357314,Non-payment of Rent,3/29/2021,C,C1
42.34904,-71.140113,Cause,5/3/2021,C,C1
42.3490877,-71.1606356,Non-payment of Rent,2/1/2021,C,C1
42.3446367,-71.1438416,Non-payment of Rent,3/13/2020,C,C1
42.348998,-71.139929,Cause,4/25/2022,C,C1
42.34707,-71.144348,Non-payment of Rent,3/13/2020,C,C1
42.3548598,-71.1307814,Non-payment of Rent,4/25/2022,C,C1
42.348788,-71.1352108,Non-payment of Rent,4/4/2022,C,C1
42.3464007,-71.1466479,Non-payment of Rent,5/2/2022,C,C1
42.3464007,-71.1466479,Non-payment of Rent,5/2/2022,C,C1
42.3452781,-71.1450986,Non-payment of Rent,3/13/2020,C,C1
42.3549508,-71.1455281,Non-payment of Rent,3/13/2020,C,C1
42.3423278,-71.14169,Non-payment of Rent,3/13/2020,C,C1
42.34749,-71.133145,Non-payment of Rent,12/13/2021,C,C1
42.3543333,-71.1311462,Non-payment of Rent,1/14/2022,C,C1
42.3438848,-71.1694877,Non-payment of Rent,12/14/2020,C,C1
42.352715,-71.12161,Non-payment of Rent,12/14/2020,C,C1
42.349125,-71.131932,Non-payment of Rent,12/21/2020,C,C1
42.3420493,-71.1428372,Non-payment of Rent,12/21/2020,C,C1
42.3468515,-71.1454344,Non-payment of Rent,4/5/2021,C,C1
